facility_name,status,open,hours_of_operation,accessibility,restroom_type,changing_stations,additional_notes,website,latitude,longitude,location_1
Passerelle Building,1,Year Round,"8am-4pm, Open later seasonally",NA,NA,NA,,,40.751662,-73.843252,POINT (-73.843252 40.751662)
The High Line Zone 1,1,Year Round,,NA,NA,NA,,,40.743643,-74.006873,POINT (-74.006873 40.743643)
Corporal Thompson Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.638516,-74.117934,POINT (-74.117934 40.638516)
"Bushwick Library, BPL",1,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/bushwick,40.704567,-73.93962,POINT (-73.93962 40.704567)
Rienzi Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.887635,-73.858784,POINT (-73.858784 40.887635)
55 East 52nd Street POPS,1,Year Round,Everyday 8:00 am-10:00 pm,Partially Accessible,Single-Stall All Gender Restroom(s),No,,,40.759132,-73.973672,POINT (-73.973672 40.759132)
"Ottendorfer Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm
Wednesday: 11:00 am - 7:00 pm
Thursday: 11:00 am - 7:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Not Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/ottendorfer,40.728915,-73.987744,POINT (-73.987744 40.728915)
Grand Central (Metro North) LIRR Restroom,1,Year Round,"Bathrooms are open from 7 a.m.-7 p.m., with a one-hour closure for cleaning from 12 noon-1 p.m.",NA,NA,NA,MTA station with bathrooms located outside of fare gates and open to the wider public,https://new.mta.info/agency/new-york-city-transit/bathrooms,40.751816,-73.976715,POINT (-73.976715 40.751816)
St. Catherine's Park,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,NA,,,40.76531,-73.958579,POINT (-73.958579 40.76531)
Fort Greene Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.692339,-73.977224,POINT (-73.977224 40.692339)
Major Deegan So. Gas Station,1,Year Round,Concession Operating Hours,NA,NA,NA,,,40.894936,-73.88258,POINT (-73.88258 40.894936)
Haffen Park Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.873542,-73.839305,POINT (-73.839305 40.873542)
Equity Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.691385,-73.853623,POINT (-73.853623 40.691385)
"Stapleton Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 11:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/stapleton,40.626265,-74.077865,POINT (-74.077865 40.626265)
"Brower Park Library, BPL",1,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/brower-park,40.675379,-73.948568,POINT (-73.948568 40.675379)
Carmansville Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.829156,-73.944308,POINT (-73.944308 40.829156)
South Beach Zone 1,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.592406,-74.063578,POINT (-74.063578 40.592406)
825 Eighth Avenue POPS,1,Year Round,Everyday 6:00 am-9:00 pm,Fully Accessible,Single-Stall All Gender Restroom(s),No,,,40.762238,-73.986944,POINT (-73.986944 40.762238)
Brevoort Playground,1,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,NA,,,40.680681,-73.922699,POINT (-73.922699 40.680681)
"Arlington Library, BPL",1,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/arlington,40.680698,-73.887239,POINT (-73.887239 40.680698)
"Forest Hills Library, QPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",NA,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/forest-hills,40.722155,-73.843016,POINT (-73.843016 40.722155)
Nicholas Naquan Heyward Jr. Park,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.684691,-73.987809,POINT (-73.987809 40.684691)
"Brooklyn Central Library, BPL",1,Year Round,"Monday	9 am - 8 pm
Tuesday	9 am - 8 pm
Wednesday	9 am - 8 pm
Thursday	9 am - 8 pm
Friday	9 am - 6 pm
Saturday	9 am - 6 pm
Sunday	CLOSED",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Yes,,https://www.bklynlibrary.org/locations/central,40.672352,-73.968226,POINT (-73.968226 40.672352)
Aqueduct Walk Zone 2,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.858411,-73.907994,POINT (-73.907994 40.858411)
Maurice A. FitzGerald Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.690257,-73.839503,POINT (-73.839503 40.690257)
Allerton Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.865665,-73.850539,POINT (-73.850539 40.865665)
East Parade Grounds,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.651895,-73.965719,POINT (-73.965719 40.651895)
Augustus St. Gaudens Playground,1,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,NA,,,40.735641,-73.982059,POINT (-73.982059 40.735641)
"Richmond Hill Library, QPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",NA,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/richmond-hill,40.700806,-73.831644,POINT (-73.831644 40.700806)
Maple Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.755964,-73.826086,POINT (-73.826086 40.755964)
Ampere Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.681435,-73.85678,POINT (-73.85678 40.681435)
Grove Hill Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.819936,-73.908532,POINT (-73.908532 40.819936)
Hudson River Park Pier 84,1,Year Round,9:30am - 10pm,Fully Accessible,NA,NA,,,40.763121,-74.000654,POINT (-74.000654 40.763121)
Galapo Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.5979,-73.946754,POINT (-73.946754 40.5979)
"Center for Brooklyn History, BPL",1,Year Round,"Monday	10 am - 6 pm
Tuesday	10 am - 6 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 6 pm
Friday	10 am - 6 pm
Saturday	10 am - 4 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/center-for-brooklyn-history,40.694811,-73.992406,POINT (-73.992406 40.694811)
Bryant Park,1,Year Round,8am-10pm,NA,Multi-Stall W/M Restrooms,NA,,,40.754039,-73.982655,POINT (-73.982655 40.754039)
Rosewood Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.872979,-73.871143,POINT (-73.871143 40.872979)
"City Island Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 6:00 pm
Wednesday: 11:00 am - 6:00 pm
Thursday: 11:00 am - 7:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/city-island,40.8477,-73.786368,POINT (-73.786368 40.8477)
MacNeil Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.793522,-73.851378,POINT (-73.851378 40.793522)
Albert J. Parham Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.690233,-73.970509,POINT (-73.970509 40.690233)
Hester St Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.716728,-73.994082,POINT (-73.994082 40.716728)
"Mosholu Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 11:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,"""Yes, in single-stall all gender restroom only""",,https://www.nypl.org/locations/mosholu,40.874388,-73.878386,POINT (-73.878386 40.874388)
St. Nicholas Park,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.813711,-73.950928,POINT (-73.950928 40.813711)
Virginia Principe Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.727226,-73.904336,POINT (-73.904336 40.727226)
Walker Park,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.643726,-74.108829,POINT (-74.108829 40.643726)
Oracle Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.693786,-73.971605,POINT (-73.971605 40.693786)
McGuire Fields,1,Year Round,"8am-4pm, Open later seasonally",NA,NA,NA,,,40.618582,-73.898792,POINT (-73.898792 40.618582)
Lopez Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.61127,-74.085,POINT (-74.085 40.61127)
"Grand Concourse Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 8:00 pm 
Tuesday: 10:00 am - 7:00 pm 
Wednesday: 10:00 am - 8:00 pm 
Thursday: 10:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,"""Yes, in single-stall all gender restroom only""",,https://www.nypl.org/locations/grand-concourse,40.84401,-73.910089,POINT (-73.910089 40.84401)
Claremont Park Zone 1,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.841506,-73.906836,POINT (-73.906836 40.841506)
East River Park Zone 5,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.721796,-73.974048,POINT (-73.974048 40.721796)
Hunts Point Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.814277,-73.88589,POINT (-73.88589 40.814277)
Greenpoint Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.735646,-73.959285,POINT (-73.959285 40.735646)
Hutchinson River Prkwy Snack,1,Year Round,Concession Operating Hours,NA,NA,NA,,,40.836286,-73.83897,POINT (-73.83897 40.836286)
Brooklyn Bridge Park Pier 6 - Quay Tower,1,Year Round,6am-1am,Fully Accessible,NA,NA,,,40.692827,-74.000721,POINT (-74.000721 40.692827)
Laurelton Parkway West Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,NA,,,40.685005,-73.726978,POINT (-73.726978 40.685005)
"Andrew Heiskell Braille and Talking Book Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 5:00 pm 
Tuesday: 12:00 pm - 7:00 pm
Wednesday: 10:00 am - 5:00 pm
Thursday: 12:00 pm - 7:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,No,Changing Table in Children's room,https://www.nypl.org/locations/heiskell,40.740474,-73.993358,POINT (-73.993358 40.740474)
Green Central Knoll,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.70212,-73.933504,POINT (-73.933504 40.70212)
